"Campaign name","Campaign id","Account","Wins","clicks","CPC","CTR","Cost","Spend","Profit"
"3600547 Havas Viatris Epipen September 2021_728x90","campaign_rWoNBC0FsRULmuJsf0Oo8qQOPrm9sJ","actor_38OrsGKnv2EnEilCTMbz80ig8Aag8","2,006","7","$1.72","0.35%","$8.42","$12.03","$3.61"
"TranquilZ IA Google- healthiest cities","campaign_TmPBNsuU0Oi40TDTwIot6dkxzkOlGf","actor_n8q7IDEMysmDeHaR3K5itxNSbono4r","1","1","$0.00","100.00%","$0.00","$0.00","$0.00"
"ShopRite -  Location 2","campaign_IzK1k8b0WFlT0JXqjRW7tHAMzGvyNF","actor_LsCO3CwhyUXlzCMQf3ueOFPf7Ij2","10,543","19","$1.02","0.18%","$13.59","$19.41","$5.82"
"3600607_Ryman Auckland We're Open December 2021","campaign_DegwniJLEj7VwP0Ptw1O2n1IhAV6Jg","actor_38OrsGKnv2EnEilCTMbz80ig8Aag8","1,253","14","$0.36","1.12%","$3.50","$5.01","$1.50"
"Prime concert DT","campaign_5TXpC225EPHnSg5tUn2FPEggo0b0","actor_XWOm2u94dUBj4rdE8ivbBpV4xmrWg","569","2","$0.28","0.35%","$0.40","$0.57","$0.17"
"3600548 Havas Viatris Synthroid Brand October 2021_LN02_300x600","campaign_50RmLNca72TV31n35zPFCEraEJ8S","actor_38OrsGKnv2EnEilCTMbz80ig8Aag8","952","1","$5.71","0.11%","$4.00","$5.71","$1.71"
"3600583 Firth Order Concrete LN01","campaign_bsOqK8PrUz99vLzyE2GUGk7QuSrE4","actor_38OrsGKnv2EnEilCTMbz80ig8Aag8","4,009","6","$1.67","0.15%","$7.01","$10.02","$3.00"
"Master Refi Facebook","campaign_7RgmMddOfAsbgbb6lmM62npoDLHyo","actor_UGofIMmKhTS829ar971KbMqfRFyM","52","52","$0.00","100.00%","$0.05","$0.07","$0.02"
"TranquilZ DT Google- healthiest cities","campaign_rvbgdC3Fy8RHFkR5xOuaJcmgiIkjo8","actor_n8q7IDEMysmDeHaR3K5itxNSbono4r","10","0","$0.00","0.00%","$0.00","$0.00","$0.00"
"3600547 Havas Viatris Epipen September 2021_300x600","campaign_fppcF9tOHFpjdqVy7MJdN39S3L8RQL","actor_38OrsGKnv2EnEilCTMbz80ig8Aag8","1,901","2","$5.68","0.11%","$7.95","$11.36","$3.41"
"3600548 Havas Viatris Synthroid Brand October 2021_LN02_970x250","campaign_1uLTBHaBi8l8qO9O25byP0DCMG1n10","actor_38OrsGKnv2EnEilCTMbz80ig8Aag8","814","1","$4.88","0.12%","$3.42","$4.88","$1.47"
"3600575 John Flynn Assisted Living Apartments Oct-Dec 2021","campaign_jvt2OrRCICP98kci1S1ashE0yHcIah","actor_38OrsGKnv2EnEilCTMbz80ig8Aag8","1,002","1","$4.00","0.10%","$2.80","$4.00","$1.20"
"Prime concert MW","campaign_yMiTdvKIROliXqherdCVqTvXeBu8It","actor_XWOm2u94dUBj4rdE8ivbBpV4xmrWg","702,598","784","$0.45","0.11%","$245.20","$350.28","$105.08"
"Seven-day challenge","campaign_X3rajSH07x7allah4BJ28aJT90UmwB","actor_zB01JsbqQ7uRsLaRCa2MwWL9PFwstl","2","0","$0.00","0.00%","$0.00","$0.00","$0.00"
"TURQUOISE DEC-JAN","campaign_G3VlqKVi9wNsumeazb8MBJiTdxrj0","actor_sPkRhNFQydDsumHKLyukrxcCrRHsu","68,662","109","$0.29","0.16%","$21.95","$31.35","$9.41"
"3600548 Havas Viatris Synthroid Brand October 2021_ LN02_728x90","campaign_q7vHrqnTFXfJwvUgvbd9GLKqSsgAr","actor_38OrsGKnv2EnEilCTMbz80ig8Aag8","952","0","$0.00","0.00%","$3.98","$5.69","$1.71"
"Elektra Mobile - retarget","campaign_7WLpb7RluVgtH8mSivy7nkd3yW8q6A","actor_UaUGrc8JEhSR95xaLuLMQDwprdLlEn","2,892","19","$0.42","0.66%","$5.52","$7.89","$2.37"
"Trendy bar Facebook","campaign_3PCQvDXWGjA7iQgoR5MIxQuuOPyi4t","actor_MjwPipI1TkXVXKEcCjGqmmhaPEhc4Q","41","41","$0.00","100.00%","$0.04","$0.07","$0.03"
"TranquilZ DT Google- healthiest cities (following SDK removed from GTM to the site)","campaign_Oxo7BiqLBIFMLKjmrTo201709HjTT0","actor_n8q7IDEMysmDeHaR3K5itxNSbono4r","39","0","$0.00","0.00%","$0.00","$0.00","$0.00"
"3600583 Firth Order Concrete LN01 Optimization","campaign_Guf1V6klPciuVhvi7oq1B5FfiJoxty","actor_38OrsGKnv2EnEilCTMbz80ig8Aag8","3,011","3","$2.51","0.10%","$5.26","$7.52","$2.26"
"3600548 Havas Viatris Synthroid Brand October 2021_LN02_320x480","campaign_wuHnKTqILpR2sJ8VHbjz3gyxetFNT","actor_38OrsGKnv2EnEilCTMbz80ig8Aag8","954","1","$3.80","0.10%","$2.66","$3.80","$1.14"
"Trendy bar (web LP)","campaign_pEzoBgoQk7ae62yUOSRChd8PPqDF7","actor_MjwPipI1TkXVXKEcCjGqmmhaPEhc4Q","1,343","197","$0.03","14.67%","$3.64","$6.07","$2.42"
"Hotels FB","campaign_gux9Dix0X4GxvdjA8yduHSBiS7BQSW","actor_MjwPipI1TkXVXKEcCjGqmmhaPEhc4Q","433","433","$0.00","100.00%","$0.43","$0.62","$0.19"
"Elektra Mobile - towns DeskTop","campaign_1dnkSlpR56h8ym9uh68APEmmCt0ML","actor_UaUGrc8JEhSR95xaLuLMQDwprdLlEn","40","0","$0.00","0.00%","$0.06","$0.09","$0.03"
"Elektra Mobile - towns","campaign_xS73p49DWTejzlVsd1V0vQJPb9z5ng","actor_UaUGrc8JEhSR95xaLuLMQDwprdLlEn","265,926","981","$0.41","0.37%","$264.31","$404.23","$139.92"
