"Campaign name","Campaign id","Account","Wins","clicks","CPC","CTR","Cost","Spend","Profit"
"Hotels MW","campaign_U153A45DvenVI1J8MzpB45nL2zngBR","actor_MjwPipI1TkXVXKEcCjGqmmhaPEhc4Q","2,140","7","$0.92","0.33%","$4.49","$6.42","$1.93"
"Express Video (General, Adx) Mobile web only","campaign_AhnqaiKLT5rnt86HqTbVAOgdsPjIk","actor_ATxhfpUHrPpm5s1iU4LOAH2WrcLkTJ","15","0","$0.00","0.00%","$0.04","$0.05","$0.01"
"TranquilZ IA GoogleAdx -Age Targeting","campaign_0GzEpVWOBwKppCVOJHul65aB2xjPTh","actor_n8q7IDEMysmDeHaR3K5itxNSbono4r","5","4","$0.00","80.00%","$0.00","$0.00","$0.00"
"Prime concert IA","campaign_aUkyg4FTjQjBlxfGgdtAvF2OH8wA7C","actor_XWOm2u94dUBj4rdE8ivbBpV4xmrWg","1,004,433","2,651","$0.15","0.26%","$280.22","$400.31","$120.09"
"3600548 Havas Viatris Synthroid Brand October 2021_LN02_300x250","campaign_EtQwW0K1oCO16KcDL0zflqlFG7kxF","actor_38OrsGKnv2EnEilCTMbz80ig8Aag8","961","0","$0.00","0.00%","$1.33","$1.90","$0.57"
"3600547 Havas Viatris Epipen September 2021_320x50","campaign_N8XReRhlskXmJ0O97yK3vjxfNI9ohU","actor_38OrsGKnv2EnEilCTMbz80ig8Aag8","2,908","3","$0.97","0.10%","$2.03","$2.91","$0.87"
"TranquilZ IA iOS - Age targeting","campaign_AXyOFbBPNORQ1Vqsf2KaroserePiNu","actor_n8q7IDEMysmDeHaR3K5itxNSbono4r","6","1","$0.00","16.67%","$0.00","$0.00","$0.00"
"TranquilZ MW","campaign_OD7zOcOKwq0iArN51bHy2aHvPcfuSF","actor_n8q7IDEMysmDeHaR3K5itxNSbono4r","25,460","8","$0.63","0.03%","$3.55","$5.07","$1.52"
"TranquilZ IA Android - healthiest cities (following SDK removed from GTM to the site)","campaign_wJBINDbGEVOtUdORQ5xLieOP4285w","actor_n8q7IDEMysmDeHaR3K5itxNSbono4r","3","3","$0.00","100.00%","$0.00","$0.00","$0.00"
"ShopRite -  Location 3","campaign_nsIaaVP3q8z8WDecSp9LbqrsdfmMPp","actor_LsCO3CwhyUXlzCMQf3ueOFPf7Ij2","17,921","34","$1.51","0.19%","$35.93","$51.33","$15.40"
"TranquilZ IA Android - Pixel check","campaign_oUy1ch0Fh5uyafVUmPv2mhRlDmrz4","actor_n8q7IDEMysmDeHaR3K5itxNSbono4r","13,568","20","$0.27","0.15%","$3.72","$5.30","$1.59"
"Hotels IA","campaign_P2QrbhAAk7x4hX65Jh2JKjiVVSppoT","actor_MjwPipI1TkXVXKEcCjGqmmhaPEhc4Q","10,119","71","$0.42","0.70%","$18.04","$30.07","$12.03"
"Prime concert FB","campaign_lTHIhokcWGH3S0fUpuBVUy6PjxVwvH","actor_XWOm2u94dUBj4rdE8ivbBpV4xmrWg","533","533","$0.00","100.00%","$0.53","$0.76","$0.23"
"3600591 Ryman AU Secure Living November 2021 Serviced Apartment","campaign_OqMIyQsA18vCpuU55lBunnXNUs1cL4","actor_38OrsGKnv2EnEilCTMbz80ig8Aag8","2","0","$0.00","0.00%","$0.00","$0.00","$0.00"
"ShopRite -  Location 1","campaign_QIv7yntA0PFRqhUhNRGQ5dScz9CJ4","actor_LsCO3CwhyUXlzCMQf3ueOFPf7Ij2","7,843","34","$0.43","0.43%","$10.33","$14.76","$4.43"
"3600547 Havas Viatris Epipen September 2021_300x250","campaign_SrfdsvyK27y34n8WvS8q0rOU891nKx","actor_38OrsGKnv2EnEilCTMbz80ig8Aag8","910","0","$0.00","0.00%","$0.64","$0.91","$0.27"
"TranquilZ IA Android -Age Targeting","campaign_INKmBhmxG5P4Ia6EWvBJCLvyE1cfv","actor_n8q7IDEMysmDeHaR3K5itxNSbono4r","8","2","$0.00","25.00%","$0.00","$0.00","$0.00"
"Trendy bar (Nav)","campaign_60ljWREfB6Nyqp9KlIAPsGgwNBtW","actor_MjwPipI1TkXVXKEcCjGqmmhaPEhc4Q","1,503","231","$0.03","15.37%","$4.15","$6.91","$2.76"
"3600547 Havas Viatris Epipen September 2021_970x250","campaign_3Gz38PE9QpudyqAOqiEa2Q9o3h7a","actor_38OrsGKnv2EnEilCTMbz80ig8Aag8","1,900","2","$5.68","0.11%","$7.95","$11.36","$3.41"
"TranquilZ MW -Age Targeting","campaign_ljufvgWmjExFpQbWIlptolj8ezWe4q","actor_n8q7IDEMysmDeHaR3K5itxNSbono4r","1","0","$0.00","0.00%","$0.00","$0.00","$0.00"
"TranquilZ IA Android - healthiest cities","campaign_beR8fMKyTTK45ToMwU9Q36JSKVUgN0","actor_n8q7IDEMysmDeHaR3K5itxNSbono4r","4","0","$0.00","0.00%","$0.00","$0.00","$0.00"
"Palestine with GeoFencing- NEW CHIC- SmartWatch- 300x250","campaign_QOxcM3RXuhCotvJt0GMpxhOebvOk8b","actor_cKFDMCRTxSs2l2MFMVOqH6SHrFIrVl","0","1","$0.00","0.00%","$0.00","$0.00","$0.00"
"TranquilZ IA iOS - Radio focused","campaign_wHnVtrd9dtt9n5sdaLxHPnKHpFCos9","actor_n8q7IDEMysmDeHaR3K5itxNSbono4r","0","1","$0.00","0.00%","$0.00","$0.00","$0.00"
"Elektra Mobile - towns (FB)","campaign_iD73bF1Xzc8EveaFHF9LCxpmQfovt","actor_UaUGrc8JEhSR95xaLuLMQDwprdLlEn","0","888","$0.00","0.00%","$0.00","$0.00","$0.00"
"Express Video (General, Adx)","campaign_fNLipa53l4I040Mxe06dev5BEq4Tbf","actor_ATxhfpUHrPpm5s1iU4LOAH2WrcLkTJ","0","2","$0.00","0.00%","$0.00","$0.00","$0.00"
"Cedato_Inapp_Nuv_WW_320*480_560907077_BL","campaign_lcjiEr4h5atpX5tQ0VisO7Vo7bfxrq","actor_FVzQHvF8UCF7PRbgPxcnv1QTOnJC8S","0","1","$0.00","0.00%","$0.00","$0.00","$0.00"
"TranquilZ IA Android -Radio focused","campaign_AUGUkXsrtKuwoCrjAusAeE1b06a0R","actor_n8q7IDEMysmDeHaR3K5itxNSbono4r","0","3","$0.00","0.00%","$0.00","$0.00","$0.00"
"TranquilZ MW -Radio focused","campaign_PxymPLaEz6t72oF5t0oX3CjxQjdwol","actor_n8q7IDEMysmDeHaR3K5itxNSbono4r","0","1","$0.00","0.00%","$0.00","$0.00","$0.00"
"חנה וסע - מזרח ירושלים (auction = 1)","campaign_AxbGzS2a6CFTSQMsqi2k8bwdK4ljD8","actor_bOO9xqzbz5V71mv9j1Axw0U3yOrwwI","0","1","$0.00","0.00%","$0.00","$0.00","$0.00"
"3600590 Ryman New Zealand Secure Living November 2021 Serviced Apartment","campaign_mtvkx56fGOGf4xsuylb9OwpmU9DMug","actor_38OrsGKnv2EnEilCTMbz80ig8Aag8","0","3","$0.00","0.00%","$0.00","$0.00","$0.00"
