"Exchang name","Exchange num","Qps"
"Google Adx",13,"32.68"
"Epom (premium)",162,"1.91"
"Beachfront",48,"0.09"
"ShowCase Ads",151,"0.02"
"AdColoni (bw)",177,"0.02"
"717Studio",158,"0.01"
