"Acount","Cost","Billing","Margin","Impressions"
"actor_2qL0253I3LmKgsC7c760zrutSrgW6x","$623.89","$1,016.47","38.62%","531,312"
"actor_n8q7IDEMysmDeHaR3K5itxNSbono4r","$224.66","$348.57","35.55%","1,039,841"
"actor_38OrsGKnv2EnEilCTMbz80ig8Aag8","$81.09","$115.84","30.00%","35,632"
"actor_2Dv6b2xAFXFni2y1ny9VxbOn00MADo","$47.54","$77.54","38.70%","134,468"
"actor_sPkRhNFQydDsumHKLyukrxcCrRHsu","$26.26","$37.49","29.96%","131,258"
"actor_ATxhfpUHrPpm5s1iU4LOAH2WrcLkTJ","$0.22","$0.26","14.98%","74"
"actor_XWOm2u94dUBj4rdE8ivbBpV4xmrWg","$0.00","$0.00","39.98%","2"
"actor_MjwPipI1TkXVXKEcCjGqmmhaPEhc4Q","$0.00","$0.00","29.97%","2"
"actor_UGofIMmKhTS829ar971KbMqfRFyM","$0.00","$0.00","29.97%","1"
