"Acount","Cost","Billing","Margin","Impressions"
"actor_2qL0253I3LmKgsC7c760zrutSrgW6x","$720.17","$1,128.96","36.21%","160,039"
"actor_2Dv6b2xAFXFni2y1ny9VxbOn00MADo","$223.53","$372.16","39.94%","195,371"
"actor_n8q7IDEMysmDeHaR3K5itxNSbono4r","$203.24","$308.25","34.07%","942,587"
"actor_38OrsGKnv2EnEilCTMbz80ig8Aag8","$59.59","$85.13","30.00%","22,506"
"actor_sPkRhNFQydDsumHKLyukrxcCrRHsu","$18.17","$25.94","29.97%","84,388"
"actor_Xec8kHAKCzIb2jPb1SqzivEMWjjFu","$0.69","$0.98","29.98%","1,001"
"actor_ATxhfpUHrPpm5s1iU4LOAH2WrcLkTJ","$0.13","$0.16","14.98%","45"
"actor_XWOm2u94dUBj4rdE8ivbBpV4xmrWg","$0.00","$0.00","39.98%","1"
"actor_MjwPipI1TkXVXKEcCjGqmmhaPEhc4Q","$0.00","$0.00","29.97%","1"
