"Account","Wins","clicks","CPC","CTR","Cost","Spend","Profit"
"actor_n8q7IDEMysmDeHaR3K5itxNSbono4r","986,161","867","$0.24","0.09%","$144.67","$206.64","$61.97"
"actor_sPkRhNFQydDsumHKLyukrxcCrRHsu","39,793","60","$0.21","0.15%","$8.94","$12.78","$3.83"
"actor_UGofIMmKhTS829ar971KbMqfRFyM","1","1","$0.00","100.00%","$0.00","$0.00","$0.00"
"actor_ATxhfpUHrPpm5s1iU4LOAH2WrcLkTJ","33","0","$0.00","0.00%","$0.10","$0.12","$0.02"
"actor_XWOm2u94dUBj4rdE8ivbBpV4xmrWg","807,234","1,714","$0.36","0.21%","$374.74","$624.56","$249.82"
"actor_38OrsGKnv2EnEilCTMbz80ig8Aag8","27,166","75","$1.32","0.28%","$69.17","$98.81","$29.64"
"actor_LsCO3CwhyUXlzCMQf3ueOFPf7Ij2","48,022","148","$0.86","0.31%","$88.91","$127.01","$38.10"
"actor_2qL0253I3LmKgsC7c760zrutSrgW6x","146,454","1,224","$0.85","0.84%","$631.30","$1,036.22","$404.92"
"actor_UaUGrc8JEhSR95xaLuLMQDwprdLlEn","318,763","1,160","$0.89","0.36%","$413.30","$1,032.17","$618.87"
"actor_MjwPipI1TkXVXKEcCjGqmmhaPEhc4Q","1,835","15","$0.37","0.82%","$3.30","$5.50","$2.20"
