"Acount","Cost","Billing","Margin","Impressions"
"actor_2qL0253I3LmKgsC7c760zrutSrgW6x","$707.37","$1,132.47","37.54%","631,077"
"actor_n8q7IDEMysmDeHaR3K5itxNSbono4r","$268.99","$425.87","36.84%","1,294,651"
"actor_38OrsGKnv2EnEilCTMbz80ig8Aag8","$89.66","$128.08","30.00%","37,776"
"actor_sPkRhNFQydDsumHKLyukrxcCrRHsu","$28.68","$40.96","29.98%","142,906"
"actor_2Dv6b2xAFXFni2y1ny9VxbOn00MADo","$23.20","$37.45","38.06%","77,675"
"actor_ATxhfpUHrPpm5s1iU4LOAH2WrcLkTJ","$0.25","$0.29","14.98%","84"
"actor_UaUGrc8JEhSR95xaLuLMQDwprdLlEn","$0.02","$0.04","60.00%","19"
"actor_XWOm2u94dUBj4rdE8ivbBpV4xmrWg","$0.00","$0.00","39.98%","2"
