"Exchang name","Exchange","Num","Impressions","Cost"
"Google Adx","exchange_FHTdban0dWKfSa2xOJI9qIQyXH7CLq","13","64,376,669","$35,090.75"
"Pubmatic","exchange_JgqyQFEHCi","33","2,935,660","$4,361.69"
"ShowCase Ads","exchange_BBVFy3l4UB","151","4,720,721","$1,312.98"
"AdColoni (bw)","exchange_iNJ1vqDfVJ","177","1,250,301","$575.11"
"Beachfront","exchange_sQcqbo4KvZ","48","1,852,208","$530.57"
"Epom (premium)","06MPNRTu7T","162","743,251","$347.88"
"PubNative (bw)","exchange_iNJ1vqDfPN","178","610,331","$211.47"
"Epom","7W2ElMVNr0","1,154","246,704","$209.22"
"717Studio","WbAs5oTI2","158","323,904","$202.73"
"Algorix (bw)","exchange_iNJ1vqDfAR","179","179,474","$105.62"
"Clickadilla","4xeM6Q2GMy","123","28,045","$13.06"
,"facebook",,"2,216","$2.22"
,"tiktok",,"313","$0.31"
"Advangelists","exchange_2R33Fa9wVx","1,050","1","$0.00"
"AdServeMe","exchange_etePl9kqEi","146","1","$0.00"
