"Campaign name","Campaign id","Account","Wins","clicks","CPC","CTR","Cost","Spend","Profit"
"TranquilZ DT New Flow","campaign_Sq9JgBV4aRSF2U4CuTIbNgpX4J53bc","actor_n8q7IDEMysmDeHaR3K5itxNSbono4r","208,710","171","$0.30","0.08%","$36.38","$51.97","$15.59"
"3600612 Ryman Murray Halberg 320x480","campaign_2vuAp2uWlouSXvNC8VJgpET90AmK7","actor_38OrsGKnv2EnEilCTMbz80ig8Aag8","1,252","1","$5.01","0.08%","$3.51","$5.01","$1.50"
"3600547 Havas Viatris Epipen September 2021_728x90","campaign_rWoNBC0FsRULmuJsf0Oo8qQOPrm9sJ","actor_38OrsGKnv2EnEilCTMbz80ig8Aag8","2,005","6","$2.00","0.30%","$8.41","$12.02","$3.61"
"ShopRite -  Location 2","campaign_IzK1k8b0WFlT0JXqjRW7tHAMzGvyNF","actor_LsCO3CwhyUXlzCMQf3ueOFPf7Ij2","7,816","25","$0.58","0.32%","$10.09","$14.41","$4.32"
"Prime concert DT","campaign_5TXpC225EPHnSg5tUn2FPEggo0b0","actor_XWOm2u94dUBj4rdE8ivbBpV4xmrWg","349","1","$0.43","0.29%","$0.26","$0.43","$0.17"
"3600548 Havas Viatris Synthroid Brand October 2021_LN02_300x600","campaign_50RmLNca72TV31n35zPFCEraEJ8S","actor_38OrsGKnv2EnEilCTMbz80ig8Aag8","1,001","3","$2.00","0.30%","$4.20","$6.01","$1.80"
"3600583 Firth Order Concrete LN01","campaign_bsOqK8PrUz99vLzyE2GUGk7QuSrE4","actor_38OrsGKnv2EnEilCTMbz80ig8Aag8","4,004","1","$10.00","0.02%","$7.00","$10.00","$3.00"
"Master Refi Facebook","campaign_7RgmMddOfAsbgbb6lmM62npoDLHyo","actor_UGofIMmKhTS829ar971KbMqfRFyM","1","1","$0.00","100.00%","$0.00","$0.00","$0.00"
"3600547 Havas Viatris Epipen September 2021_300x600","campaign_fppcF9tOHFpjdqVy7MJdN39S3L8RQL","actor_38OrsGKnv2EnEilCTMbz80ig8Aag8","1,671","0","$0.00","0.00%","$7.00","$10.00","$3.00"
"3600548 Havas Viatris Synthroid Brand October 2021_LN02_970x250","campaign_1uLTBHaBi8l8qO9O25byP0DCMG1n10","actor_38OrsGKnv2EnEilCTMbz80ig8Aag8","236","0","$0.00","0.00%","$0.98","$1.40","$0.42"
"3600575 John Flynn Assisted Living Apartments Oct-Dec 2021","campaign_jvt2OrRCICP98kci1S1ashE0yHcIah","actor_38OrsGKnv2EnEilCTMbz80ig8Aag8","1,015","2","$2.01","0.20%","$2.82","$4.03","$1.21"
"Prime concert MW","campaign_yMiTdvKIROliXqherdCVqTvXeBu8It","actor_XWOm2u94dUBj4rdE8ivbBpV4xmrWg","339,527","515","$0.51","0.15%","$157.20","$261.99","$104.80"
"TURQUOISE DEC-JAN","campaign_G3VlqKVi9wNsumeazb8MBJiTdxrj0","actor_sPkRhNFQydDsumHKLyukrxcCrRHsu","39,793","60","$0.21","0.15%","$8.94","$12.78","$3.83"
"3600548 Havas Viatris Synthroid Brand October 2021_ LN02_728x90","campaign_q7vHrqnTFXfJwvUgvbd9GLKqSsgAr","actor_38OrsGKnv2EnEilCTMbz80ig8Aag8","951","0","$0.00","0.00%","$3.96","$5.65","$1.70"
"Elektra Mobile - retarget","campaign_7WLpb7RluVgtH8mSivy7nkd3yW8q6A","actor_UaUGrc8JEhSR95xaLuLMQDwprdLlEn","2,512","11","$1.01","0.44%","$4.43","$11.06","$6.63"
"Trendy bar Facebook","campaign_3PCQvDXWGjA7iQgoR5MIxQuuOPyi4t","actor_MjwPipI1TkXVXKEcCjGqmmhaPEhc4Q","1","1","$0.00","100.00%","$0.00","$0.00","$0.00"
"3600583 Firth Order Concrete LN01 Optimization","campaign_Guf1V6klPciuVhvi7oq1B5FfiJoxty","actor_38OrsGKnv2EnEilCTMbz80ig8Aag8","3,016","0","$0.00","0.00%","$5.27","$7.54","$2.26"
"3600548 Havas Viatris Synthroid Brand October 2021_LN02_320x480","campaign_wuHnKTqILpR2sJ8VHbjz3gyxetFNT","actor_38OrsGKnv2EnEilCTMbz80ig8Aag8","955","1","$3.80","0.10%","$2.66","$3.80","$1.14"
"Maki cities, news IA MW","campaign_wNBgA2lzjqBF6vpBWtqWK0k85iOEw","actor_2qL0253I3LmKgsC7c760zrutSrgW6x","2,597","14","$1.72","0.54%","$16.81","$24.02","$7.20"
"Maki wide, IA MW news","campaign_IM0HJh4ehI5q2oWom5iv5Sd0xlWFoE","actor_2qL0253I3LmKgsC7c760zrutSrgW6x","65,613","789","$0.63","1.20%","$299.65","$499.26","$199.62"
"Elektra Mobile - towns DeskTop","campaign_1dnkSlpR56h8ym9uh68APEmmCt0ML","actor_UaUGrc8JEhSR95xaLuLMQDwprdLlEn","83","0","$0.00","0.00%","$0.37","$0.56","$0.19"
"Elektra Mobile - towns","campaign_xS73p49DWTejzlVsd1V0vQJPb9z5ng","actor_UaUGrc8JEhSR95xaLuLMQDwprdLlEn","316,168","1,148","$0.89","0.36%","$408.51","$1,020.55","$612.04"
"Express Video (General, Adx) Mobile web only","campaign_AhnqaiKLT5rnt86HqTbVAOgdsPjIk","actor_ATxhfpUHrPpm5s1iU4LOAH2WrcLkTJ","33","0","$0.00","0.00%","$0.10","$0.12","$0.02"
"Prime concert IA","campaign_aUkyg4FTjQjBlxfGgdtAvF2OH8wA7C","actor_XWOm2u94dUBj4rdE8ivbBpV4xmrWg","449,031","1,062","$0.32","0.24%","$205.94","$343.24","$137.29"
"3600548 Havas Viatris Synthroid Brand October 2021_LN02_300x250","campaign_EtQwW0K1oCO16KcDL0zflqlFG7kxF","actor_38OrsGKnv2EnEilCTMbz80ig8Aag8","957","0","$0.00","0.00%","$1.33","$1.90","$0.57"
"TranquilZ IA New Flow","campaign_LotkcTuA0MgefKxlpRWhq6OvVOHVm","actor_n8q7IDEMysmDeHaR3K5itxNSbono4r","351,826","486","$0.14","0.14%","$48.96","$69.91","$20.95"
"3600547 Havas Viatris Epipen September 2021_320x50","campaign_N8XReRhlskXmJ0O97yK3vjxfNI9ohU","actor_38OrsGKnv2EnEilCTMbz80ig8Aag8","2,903","5","$0.58","0.17%","$2.03","$2.90","$0.87"
"Maki cities MW news","campaign_mirE2UdCHcuWOvFATppnPaWzNe7Dr","actor_2qL0253I3LmKgsC7c760zrutSrgW6x","12,964","24","$3.15","0.19%","$45.35","$75.55","$30.20"
"Prime concert IA retargeting","campaign_BRGyEcnjy6d9FhCXtO7XiEM3EIpnGH","actor_XWOm2u94dUBj4rdE8ivbBpV4xmrWg","18,326","135","$0.14","0.74%","$11.34","$18.89","$7.56"
