"Campaign name","Campaign id","Account","Wins","clicks","CPC","CTR","Cost","Spend","Profit"
"ShopRite -  Location 3","campaign_nsIaaVP3q8z8WDecSp9LbqrsdfmMPp","actor_LsCO3CwhyUXlzCMQf3ueOFPf7Ij2","33,135","68","$1.46","0.21%","$69.61","$99.44","$29.83"
"TranquilZ MW New Flow","campaign_FRKP1uqtQkQ0ype2QreN5k3qdTzlQE","actor_n8q7IDEMysmDeHaR3K5itxNSbono4r","425,625","208","$0.41","0.05%","$59.33","$84.76","$25.43"
"Maki cities any traffic","campaign_jHr4g6T0r7qHyhMg7qG7cTxlh4gGD","actor_2qL0253I3LmKgsC7c760zrutSrgW6x","7,178","38","$1.85","0.53%","$49.27","$70.38","$21.11"
"3600590 Ryman New Zealand Secure Living November 2021 Serviced Apartment","campaign_mtvkx56fGOGf4xsuylb9OwpmU9DMug","actor_38OrsGKnv2EnEilCTMbz80ig8Aag8","5,019","54","$0.37","1.08%","$14.03","$20.05","$6.01"
"Hotels IA","campaign_P2QrbhAAk7x4hX65Jh2JKjiVVSppoT","actor_MjwPipI1TkXVXKEcCjGqmmhaPEhc4Q","1,834","7","$0.79","0.38%","$3.30","$5.50","$2.20"
"Prime concert FB","campaign_lTHIhokcWGH3S0fUpuBVUy6PjxVwvH","actor_XWOm2u94dUBj4rdE8ivbBpV4xmrWg","1","1","$0.00","100.00%","$0.00","$0.00","$0.00"
"3600591 Ryman AU Secure Living November 2021 Serviced Apartment","campaign_OqMIyQsA18vCpuU55lBunnXNUs1cL4","actor_38OrsGKnv2EnEilCTMbz80ig8Aag8","3","0","$0.00","0.00%","$0.00","$0.00","$0.00"
"ShopRite -  Location 1","campaign_QIv7yntA0PFRqhUhNRGQ5dScz9CJ4","actor_LsCO3CwhyUXlzCMQf3ueOFPf7Ij2","7,071","55","$0.24","0.78%","$9.21","$13.15","$3.95"
"3600547 Havas Viatris Epipen September 2021_300x250","campaign_SrfdsvyK27y34n8WvS8q0rOU891nKx","actor_38OrsGKnv2EnEilCTMbz80ig8Aag8","899","1","$0.90","0.11%","$0.63","$0.90","$0.27"
"Maki cities IA","campaign_MdqqmbFVPQuwyJ5F5w9sP36tQm4Q","actor_2qL0253I3LmKgsC7c760zrutSrgW6x","58,102","359","$1.02","0.62%","$220.22","$367.01","$146.79"
"3600547 Havas Viatris Epipen September 2021_970x250","campaign_3Gz38PE9QpudyqAOqiEa2Q9o3h7a","actor_38OrsGKnv2EnEilCTMbz80ig8Aag8","1,279","1","$7.63","0.08%","$5.34","$7.63","$2.29"
"CDT_MachinAds_1_SpecificApps_291117","campaign_teeySUWQosn5kxXVdtPBxAOwjN5O17","actor_wLkX3wAwK53s6a7MvE0AkCphld8eWS","0","2","$0.00","0.00%","$0.00","$0.00","$0.00"
"Aniview Vudha Stream US IA Android  320x480 (jlnr)","campaign_3wEsqv907iGqBTGHmKmSQa9KHjLnr","actor_x159fxyzaMipo2WW5Cix8gbyW9e9J8","0","1","$0.00","0.00%","$0.00","$0.00","$0.00"
"Elektra Mobile - towns (FB)","campaign_iD73bF1Xzc8EveaFHF9LCxpmQfovt","actor_UaUGrc8JEhSR95xaLuLMQDwprdLlEn","0","1","$0.00","0.00%","$0.00","$0.00","$0.00"
"Trendy bar (web LP)","campaign_pEzoBgoQk7ae62yUOSRChd8PPqDF7","actor_MjwPipI1TkXVXKEcCjGqmmhaPEhc4Q","0","5","$0.00","0.00%","$0.00","$0.00","$0.00"
"TranquilZ IA Android","campaign_rUloqWPhibHGQAt76ztCH5MkrhLMWo","actor_n8q7IDEMysmDeHaR3K5itxNSbono4r","0","1","$0.00","0.00%","$0.00","$0.00","$0.00"
"TranquilZ IA Android -Age Targeting","campaign_INKmBhmxG5P4Ia6EWvBJCLvyE1cfv","actor_n8q7IDEMysmDeHaR3K5itxNSbono4r","0","1","$0.00","0.00%","$0.00","$0.00","$0.00"
"Trendy bar (Nav)","campaign_60ljWREfB6Nyqp9KlIAPsGgwNBtW","actor_MjwPipI1TkXVXKEcCjGqmmhaPEhc4Q","0","2","$0.00","0.00%","$0.00","$0.00","$0.00"
