"Acount","Cost","Billing","Margin","Impressions"
"actor_2qL0253I3LmKgsC7c760zrutSrgW6x","$610.45","$1,003.49","39.17%","392,954"
"actor_n8q7IDEMysmDeHaR3K5itxNSbono4r","$112.69","$160.97","29.99%","504,744"
"actor_2Dv6b2xAFXFni2y1ny9VxbOn00MADo","$59.33","$98.08","39.51%","80,196"
"actor_38OrsGKnv2EnEilCTMbz80ig8Aag8","$12.93","$18.47","29.99%","8,980"
"actor_sPkRhNFQydDsumHKLyukrxcCrRHsu","$0.01","$0.01","29.68%","73"
"actor_XWOm2u94dUBj4rdE8ivbBpV4xmrWg","$0.00","$0.00","39.98%","2"
"actor_ATxhfpUHrPpm5s1iU4LOAH2WrcLkTJ","$0.00","$0.00","undefined%","2"
