"Account","Wins","clicks","CPC","CTR","Cost","Spend","Profit"
"actor_n8q7IDEMysmDeHaR3K5itxNSbono4r","335,442","942","$0.09","0.28%","$57.19","$81.70","$24.51"
"actor_sPkRhNFQydDsumHKLyukrxcCrRHsu","25,367","27","$0.41","0.11%","$7.82","$11.17","$3.35"
"actor_UGofIMmKhTS829ar971KbMqfRFyM","136","138","$0.00","101.47%","$0.14","$0.19","$0.06"
"actor_ATxhfpUHrPpm5s1iU4LOAH2WrcLkTJ","16,965","68","$0.57","0.40%","$32.72","$38.48","$5.76"
"actor_38OrsGKnv2EnEilCTMbz80ig8Aag8","26,363","66","$1.51","0.25%","$69.91","$99.87","$29.96"
"actor_LsCO3CwhyUXlzCMQf3ueOFPf7Ij2","27,330","35","$1.33","0.13%","$32.53","$46.47","$13.94"
"actor_MjwPipI1TkXVXKEcCjGqmmhaPEhc4Q","24,704","158","$0.16","0.64%","$17.27","$24.67","$7.40"
