"Exchang name","Exchange","Num","Requests"
"Google Adx","exchange_FHTdban0dWKfSa2xOJI9qIQyXH7CLq","13","765,705,033"
"Beachfront","exchange_sQcqbo4KvZ","48","187,186,908"
"AdColoni (bw)","exchange_iNJ1vqDfVJ","177","23,844,051"
"717Studio","WbAs5oTI2","158","4,346,671"
"openrtbio","exchange_66t0aUcCix","97","632,656"
