"Time","Instance Id","az","resTime","errors","Instance Type","requests","qps","bids"
"19/12/2021 13:16","95.211.125.238","AMS",205,0,"HP DL380eG8 - E5-2420","1,176","20","428"
"19/12/2021 13:16","5.79.126.200","AMS",203,0,"HP DL380eG8 - E5-2420","848","14","384"
"19/12/2021 13:16","5.79.126.198","AMS",204,0,"HP DL380eG8 - E5-2420","812","14","352"
"19/12/2021 13:16","5.79.126.195","AMS",843,0,"HP DL380eG8 - E5-2420","500","8","240"
"19/12/2021 13:16","5.79.125.8","AMS",204,0,"HP DL380eG8 - E5-2420","336","6","224"
"19/12/2021 13:16","5.79.125.7","AMS",205,0,"HP DL380eG8 - E5-2420","296","5","212"
"19/12/2021 13:16","95.211.125.231","AMS",207,1,"HP DL380eG8 - E5-2420","208","3","188"
"19/12/2021 13:16","5.79.126.199","AMS",526,2,"HP DL380eG8 - E5-2420","224","4","176"
"19/12/2021 13:16","23.106.253.48","SGP",984,0,"HP DL120 G9 Xeon E5-1650v","156","3","156"
"19/12/2021 13:16","23.106.249.43","SGP",707,0,"HP DL120 G9 Xeon E5-1650v","156","3","156"
"19/12/2021 13:16","209.58.170.136","SGP",703,2,"HP DL120 G9 Xeon E5-1650v","152","3","152"
"19/12/2021 13:16","209.58.168.143","SGP",1177,3,"Dell R620 2x Intel Xeon E","156","3","156"
"19/12/2021 13:16","207.244.125.221","USE",556,0,"2x Intel Xeon E5-2420","94,840","1581","2,388"
"19/12/2021 13:16","207.244.125.214","USE",208,0,"2x Intel Xeon E5-2420","93,128","1552","2,236"
"19/12/2021 13:16","207.244.116.243","USE",494,0,"2x Intel Xeon E5-2420","92,344","1539","2,132"
"19/12/2021 13:16","162.210.198.66","USE",256,0,"2x Intel Xeon E5-2420","88,068","1468","1,908"
"19/12/2021 13:16","207.244.116.242","USE",308,0,"2x Intel Xeon E5-2420","73,324","1222","1,876"
"19/12/2021 13:16","23.82.11.27","USE",665,1,"2x Intel Xeon E5-2420","91,208","1520","2,184"
"19/12/2021 13:16","108.59.9.182","USE",744,1,"2x Intel Xeon E5-2420","82,600","1377","2,180"
"19/12/2021 13:16","207.244.69.201","USE",470,2,"2x Intel Xeon E5-2420","92,588","1543","2,248"
"19/12/2021 13:16","23.105.170.102","USE",532,3,"2x Intel Xeon E5-2420","95,892","1598","2,264"
"19/12/2021 13:16","23.19.65.146","USW",453,0,"2x Intel Xeon E5-2630v4","156","3","156"
"19/12/2021 13:16","23.19.65.148","USW",454,2,"2x Intel Xeon E5-2630v4","156","3","156"
"19/12/2021 13:16","23.19.73.28","USW",842,4,"2x Intel Xeon E5-2630v4","160","3","160"
