"Time","Instance Id","az","resTime","errors","Instance Type","requests","qps","bids"
"19/12/2021 13:24","5.79.125.8","AMS",202,0,"HP DL380eG8 - E5-2420","808","13","400"
"19/12/2021 13:24","5.79.126.198","AMS",205,0,"HP DL380eG8 - E5-2420","580","10","292"
"19/12/2021 13:24","5.79.126.200","AMS",767,0,"HP DL380eG8 - E5-2420","560","9","264"
"19/12/2021 13:24","5.79.125.7","AMS",205,0,"HP DL380eG8 - E5-2420","392","7","232"
"19/12/2021 13:24","5.79.126.195","AMS",595,0,"HP DL380eG8 - E5-2420","320","5","200"
"19/12/2021 13:24","5.79.126.199","AMS",757,1,"HP DL380eG8 - E5-2420","428","7","248"
"19/12/2021 13:24","95.211.125.231","AMS",531,1,"HP DL380eG8 - E5-2420","360","6","232"
"19/12/2021 13:24","95.211.125.238","AMS",203,2,"HP DL380eG8 - E5-2420","476","8","252"
"19/12/2021 13:24","23.106.249.43","SGP",707,0,"HP DL120 G9 Xeon E5-1650v","156","3","156"
"19/12/2021 13:24","23.106.253.48","SGP",944,0,"HP DL120 G9 Xeon E5-1650v","152","3","152"
"19/12/2021 13:24","209.58.170.136","SGP",1164,0,"HP DL120 G9 Xeon E5-1650v","136","2","136"
"19/12/2021 13:24","209.58.168.143","SGP",853,3,"Dell R620 2x Intel Xeon E","144","2","144"
"19/12/2021 13:24","207.244.69.201","USE",497,0,"2x Intel Xeon E5-2420","110,388","1840","2,424"
"19/12/2021 13:24","207.244.125.221","USE",214,0,"2x Intel Xeon E5-2420","109,784","1830","2,420"
"19/12/2021 13:24","207.244.116.243","USE",205,0,"2x Intel Xeon E5-2420","107,848","1797","2,220"
"19/12/2021 13:24","23.105.170.102","USE",907,0,"2x Intel Xeon E5-2420","83,604","1393","2,116"
"19/12/2021 13:24","108.59.9.182","USE",197,0,"2x Intel Xeon E5-2420","81,704","1362","2,124"
"19/12/2021 13:24","207.244.125.214","USE",453,1,"2x Intel Xeon E5-2420","96,104","1602","2,116"
"19/12/2021 13:24","23.82.11.27","USE",445,1,"2x Intel Xeon E5-2420","86,140","1436","2,156"
"19/12/2021 13:24","162.210.198.66","USE",206,1,"2x Intel Xeon E5-2420","80,780","1346","1,908"
"19/12/2021 13:24","207.244.116.242","USE",516,3,"2x Intel Xeon E5-2420","75,132","1252","1,792"
"19/12/2021 13:24","23.19.65.148","USW",759,0,"2x Intel Xeon E5-2630v4","152","3","152"
"19/12/2021 13:24","23.19.65.146","USW",454,0,"2x Intel Xeon E5-2630v4","148","2","148"
"19/12/2021 13:24","23.19.73.28","USW",656,3,"2x Intel Xeon E5-2630v4","152","3","152"
