"Exchang name","Exchange","Num","Requests"
"Google Adx","exchange_FHTdban0dWKfSa2xOJI9qIQyXH7CLq","13","769,180,874"
"Beachfront","exchange_sQcqbo4KvZ","48","188,389,547"
"AdColoni (bw)","exchange_iNJ1vqDfVJ","177","24,003,652"
"717Studio","WbAs5oTI2","158","4,281,929"
"openrtbio","exchange_66t0aUcCix","97","632,712"
