"Exchang name","Exchange","Wins","clicks","CPC","CTR","Cost","Spend","Profit"
"Google Adx","exchange_FHTdban0dWKfSa2xOJI9qIQyXH7CLq","365,363","1,251","$0.21","0.34%","$190.29","$263.58","$73.29"
"Beachfront","exchange_sQcqbo4KvZ","81,616","27","$1.37","0.03%","$25.84","$36.91","$11.07"
,"tiktok","136","136","$0.00","100.00%","$0.14","$0.19","$0.06"
"AdColoni (bw)","exchange_iNJ1vqDfVJ","8,959","9","$0.18","0.10%","$1.15","$1.64","$0.49"
"717Studio","WbAs5oTI2","233","2","$0.12","0.86%","$0.16","$0.23","$0.07"
,"undefined","0","10","$0.00","0.00%","$0.00","$0.00","$0.00"
