"Campaign name","Campaign id","Account","Wins","clicks","CPC","CTR","Cost","Spend","Profit"
"TranquilZ MW New Flow - Google Adx+Age Targeting","campaign_UQWr02SLoaJIzbsysdEp1OOp9rT7","actor_n8q7IDEMysmDeHaR3K5itxNSbono4r","209,341","5,691","$0.01","2.72%","$37.25","$62.09","$24.83"
"TranquilZ DT New Flow","campaign_Sq9JgBV4aRSF2U4CuTIbNgpX4J53bc","actor_n8q7IDEMysmDeHaR3K5itxNSbono4r","11,975","4","$0.90","0.03%","$2.51","$3.59","$1.08"
"3600612 Ryman Murray Halberg 320x480","campaign_2vuAp2uWlouSXvNC8VJgpET90AmK7","actor_38OrsGKnv2EnEilCTMbz80ig8Aag8","1,252","0","$0.00","0.00%","$3.51","$5.01","$1.50"
"3600547 Havas Viatris Epipen September 2021_728x90","campaign_rWoNBC0FsRULmuJsf0Oo8qQOPrm9sJ","actor_38OrsGKnv2EnEilCTMbz80ig8Aag8","2,011","4","$3.02","0.20%","$8.44","$12.06","$3.62"
"TranquilZ IA New Flow - GoogleAdx","campaign_yBatMKKOdRDdMNnsHmlLmlTF39zybe","actor_n8q7IDEMysmDeHaR3K5itxNSbono4r","85,785","75","$0.40","0.09%","$18.01","$30.02","$12.01"
"TranquilZ MW  New Flow- WL","campaign_tVRGOlFmteTnIxSmSppmVVWCM2Bs1k","actor_n8q7IDEMysmDeHaR3K5itxNSbono4r","927","0","$0.00","0.00%","$0.16","$0.27","$0.11"
"3600548 Havas Viatris Synthroid Brand October 2021_LN02_300x600","campaign_50RmLNca72TV31n35zPFCEraEJ8S","actor_38OrsGKnv2EnEilCTMbz80ig8Aag8","1,007","0","$0.00","0.00%","$4.22","$6.03","$1.81"
"3600583 Firth Order Concrete LN01","campaign_bsOqK8PrUz99vLzyE2GUGk7QuSrE4","actor_38OrsGKnv2EnEilCTMbz80ig8Aag8","4,021","5","$2.01","0.12%","$7.03","$10.05","$3.01"
"3600547 Havas Viatris Epipen September 2021_300x600","campaign_fppcF9tOHFpjdqVy7MJdN39S3L8RQL","actor_38OrsGKnv2EnEilCTMbz80ig8Aag8","1,901","0","$0.00","0.00%","$7.97","$11.38","$3.41"
"3600548 Havas Viatris Synthroid Brand October 2021_LN02_970x250","campaign_1uLTBHaBi8l8qO9O25byP0DCMG1n10","actor_38OrsGKnv2EnEilCTMbz80ig8Aag8","219","0","$0.00","0.00%","$0.92","$1.31","$0.39"
"TranquilZ DT New Flow - Google Adx+Age Targeting","campaign_oAvRdRL1aV8DySLKu2ehjf0zlx9Ca","actor_n8q7IDEMysmDeHaR3K5itxNSbono4r","7","0","$0.00","0.00%","$0.00","$0.00","$0.00"
"TranquilZ IA New Flow - WL","campaign_zueGxoQX1Qu2yRx8ikVD4qMRymDfl","actor_n8q7IDEMysmDeHaR3K5itxNSbono4r","3,129","4","$0.31","0.13%","$0.88","$1.25","$0.38"
"TURQUOISE DEC-JAN","campaign_G3VlqKVi9wNsumeazb8MBJiTdxrj0","actor_sPkRhNFQydDsumHKLyukrxcCrRHsu","111,540","73","$0.45","0.07%","$23.14","$33.05","$9.91"
"3600548 Havas Viatris Synthroid Brand October 2021_ LN02_728x90","campaign_q7vHrqnTFXfJwvUgvbd9GLKqSsgAr","actor_38OrsGKnv2EnEilCTMbz80ig8Aag8","950","0","$0.00","0.00%","$3.95","$5.65","$1.69"
"Elektra Mobile - retarget","campaign_7WLpb7RluVgtH8mSivy7nkd3yW8q6A","actor_UaUGrc8JEhSR95xaLuLMQDwprdLlEn","7","2","$0.00","28.57%","$0.00","$0.00","$0.00"
"TranquilZ IA New Flow -Google Adx+Age Targeting","campaign_ciWMwL3ssPHvBxtkiJJWFCcAb9uCWv","actor_n8q7IDEMysmDeHaR3K5itxNSbono4r","286,093","368","$0.27","0.13%","$60.05","$100.09","$40.03"
"3600583 Firth Order Concrete LN01 Optimization","campaign_Guf1V6klPciuVhvi7oq1B5FfiJoxty","actor_38OrsGKnv2EnEilCTMbz80ig8Aag8","3,014","3","$2.51","0.10%","$5.27","$7.53","$2.26"
