"Campaign name","Campaign id","Account","Wins","clicks","CPC","CTR","Cost","Spend","Profit"
"3600548 Havas Viatris Synthroid Brand October 2021_LN02_320x480","campaign_wuHnKTqILpR2sJ8VHbjz3gyxetFNT","actor_38OrsGKnv2EnEilCTMbz80ig8Aag8","956","0","$0.00","0.00%","$2.67","$3.81","$1.14"
"Maki cities DT","campaign_0Tmmg8hJqGIkR5mwRwRtNQ3Cub3bJJ","actor_2qL0253I3LmKgsC7c760zrutSrgW6x","90","0","$0.00","0.00%","$0.09","$0.15","$0.06"
"Maki cities, news IA MW","campaign_wNBgA2lzjqBF6vpBWtqWK0k85iOEw","actor_2qL0253I3LmKgsC7c760zrutSrgW6x","110,756","1,158","$0.15","1.05%","$118.62","$169.43","$50.81"
"Elektra Mobile - towns","campaign_xS73p49DWTejzlVsd1V0vQJPb9z5ng","actor_UaUGrc8JEhSR95xaLuLMQDwprdLlEn","12","34","$0.00","283.33%","$0.02","$0.04","$0.03"
"Patagonia FootFall IA","campaign_Ce1XOfzslBOrrjKbWKVbGJ4dAnbst","actor_2Dv6b2xAFXFni2y1ny9VxbOn00MADo","9,502","26","$0.17","0.27%","$2.71","$4.40","$1.68"
"Express Video (General, Adx) Mobile web only","campaign_AhnqaiKLT5rnt86HqTbVAOgdsPjIk","actor_ATxhfpUHrPpm5s1iU4LOAH2WrcLkTJ","70","0","$0.00","0.00%","$0.21","$0.24","$0.04"
"On Running FootFall IA","campaign_QeufH7BOwXyt2w53v19UW89d6MSfzI","actor_2Dv6b2xAFXFni2y1ny9VxbOn00MADo","9,416","27","$0.16","0.29%","$2.70","$4.37","$1.67"
"Yeti FootFall IA","campaign_dq4AXKNNPxU8bCQxM6vmFKBSRMdwhJ","actor_2Dv6b2xAFXFni2y1ny9VxbOn00MADo","8,818","23","$0.18","0.26%","$2.48","$4.03","$1.55"
"TranquilZ DT New Flow - Google Adx","campaign_C0hegkSDf4DcjRmtDoNOdLEOrKApia","actor_n8q7IDEMysmDeHaR3K5itxNSbono4r","5","0","$0.00","0.00%","$0.00","$0.00","$0.00"
"3600548 Havas Viatris Synthroid Brand October 2021_LN02_300x250","campaign_EtQwW0K1oCO16KcDL0zflqlFG7kxF","actor_38OrsGKnv2EnEilCTMbz80ig8Aag8","955","1","$1.91","0.10%","$1.34","$1.91","$0.57"
"TranquilZ IA New Flow","campaign_LotkcTuA0MgefKxlpRWhq6OvVOHVm","actor_n8q7IDEMysmDeHaR3K5itxNSbono4r","218,136","821","$0.09","0.38%","$50.75","$72.47","$21.72"
"3600547 Havas Viatris Epipen September 2021_320x50","campaign_N8XReRhlskXmJ0O97yK3vjxfNI9ohU","actor_38OrsGKnv2EnEilCTMbz80ig8Aag8","2,903","4","$0.72","0.14%","$2.03","$2.90","$0.87"
"Maki cities MW news","campaign_mirE2UdCHcuWOvFATppnPaWzNe7Dr","actor_2qL0253I3LmKgsC7c760zrutSrgW6x","34,099","80","$0.59","0.23%","$28.51","$47.52","$19.00"
"Green Egg FootFall IA","campaign_Agg8MpmLifaPSET0nkKttNH3Fk3Ix","actor_2Dv6b2xAFXFni2y1ny9VxbOn00MADo","9,581","26","$0.17","0.27%","$2.74","$4.43","$1.70"
"TranquilZ MW New Flow","campaign_FRKP1uqtQkQ0ype2QreN5k3qdTzlQE","actor_n8q7IDEMysmDeHaR3K5itxNSbono4r","67,666","30","$0.68","0.04%","$14.20","$20.29","$6.09"
"Maki cities any traffic","campaign_jHr4g6T0r7qHyhMg7qG7cTxlh4gGD","actor_2qL0253I3LmKgsC7c760zrutSrgW6x","46,126","131","$0.51","0.28%","$46.72","$66.74","$20.01"
"Maki Reynosa news","campaign_tgaaEB06vBMuKp389r6r6BUja1gX5j","actor_2qL0253I3LmKgsC7c760zrutSrgW6x","51,609","153","$1.01","0.30%","$92.94","$154.89","$61.95"
"TranquilZ MW New Flow - GoogleAdx","campaign_HPpO3CqI1v4Q6IUoIp1061aVejH0d","actor_n8q7IDEMysmDeHaR3K5itxNSbono4r","98,484","2,482","$0.01","2.52%","$17.57","$29.29","$11.72"
"Prime concert FB","campaign_lTHIhokcWGH3S0fUpuBVUy6PjxVwvH","actor_XWOm2u94dUBj4rdE8ivbBpV4xmrWg","1","1","$0.00","100.00%","$0.00","$0.00","$0.00"
"3600547 Havas Viatris Epipen September 2021_300x250","campaign_SrfdsvyK27y34n8WvS8q0rOU891nKx","actor_38OrsGKnv2EnEilCTMbz80ig8Aag8","1,015","0","$0.00","0.00%","$0.71","$1.02","$0.30"
"Maki cities IA","campaign_MdqqmbFVPQuwyJ5F5w9sP36tQm4Q","actor_2qL0253I3LmKgsC7c760zrutSrgW6x","223,389","1,898","$0.21","0.85%","$240.17","$400.26","$160.08"
"Maki Reynosa geofence","campaign_fTPcvdDFsm2h2I3yTQBUrWEAAe2N9y","actor_2qL0253I3LmKgsC7c760zrutSrgW6x","3,312","17","$0.94","0.51%","$9.59","$15.98","$6.39"
"3600547 Havas Viatris Epipen September 2021_970x250","campaign_3Gz38PE9QpudyqAOqiEa2Q9o3h7a","actor_38OrsGKnv2EnEilCTMbz80ig8Aag8","1,205","1","$7.19","0.08%","$5.03","$7.19","$2.16"
"CDT-IA-US-RON","campaign_KxyosEyUR6DsccTtmy8y83cNs1mP","actor_wLkX3wAwK53s6a7MvE0AkCphld8eWS","0","1","$0.00","0.00%","$0.00","$0.00","$0.00"
"Prime concert MW","campaign_yMiTdvKIROliXqherdCVqTvXeBu8It","actor_XWOm2u94dUBj4rdE8ivbBpV4xmrWg","0","1","$0.00","0.00%","$0.00","$0.00","$0.00"
"Trendy bar Facebook","campaign_3PCQvDXWGjA7iQgoR5MIxQuuOPyi4t","actor_MjwPipI1TkXVXKEcCjGqmmhaPEhc4Q","0","1","$0.00","0.00%","$0.00","$0.00","$0.00"
"Trendy bar (web LP)","campaign_pEzoBgoQk7ae62yUOSRChd8PPqDF7","actor_MjwPipI1TkXVXKEcCjGqmmhaPEhc4Q","0","1","$0.00","0.00%","$0.00","$0.00","$0.00"
"TranquilZ IA Android -Radio focused","campaign_AUGUkXsrtKuwoCrjAusAeE1b06a0R","actor_n8q7IDEMysmDeHaR3K5itxNSbono4r","0","5","$0.00","0.00%","$0.00","$0.00","$0.00"
"Maki wide, IA MW news","campaign_IM0HJh4ehI5q2oWom5iv5Sd0xlWFoE","actor_2qL0253I3LmKgsC7c760zrutSrgW6x","0","4","$0.00","0.00%","$0.00","$0.00","$0.00"
"Prime concert IA","campaign_aUkyg4FTjQjBlxfGgdtAvF2OH8wA7C","actor_XWOm2u94dUBj4rdE8ivbBpV4xmrWg","0","37","$0.00","0.00%","$0.00","$0.00","$0.00"
"Israel with GeoFencing- MaxBounty Android- 300x250","campaign_rnz8zDphbQBIcxz4Ud0MgWB0oGWKwx","undefined","0","1","$0.00","0.00%","$0.00","$0.00","$0.00"
"TranquilZ IA Android -Age Targeting","campaign_INKmBhmxG5P4Ia6EWvBJCLvyE1cfv","actor_n8q7IDEMysmDeHaR3K5itxNSbono4r","0","1","$0.00","0.00%","$0.00","$0.00","$0.00"
