"Exchang name","Exchange","Wins","clicks","CPC","CTR","Cost","Spend","Profit"
"Google Adx","exchange_FHTdban0dWKfSa2xOJI9qIQyXH7CLq","302,269","1,049","$0.18","0.35%","$133.16","$190.23","$57.07"
"Beachfront","exchange_sQcqbo4KvZ","79,113","47","$0.79","0.06%","$25.88","$36.98","$11.09"
"AdColoni (bw)","exchange_iNJ1vqDfVJ","8,444","7","$0.24","0.08%","$1.20","$1.71","$0.51"
"717Studio","WbAs5oTI2","264","3","$0.09","1.14%","$0.18","$0.26","$0.08"
,"undefined","0","24","$0.00","0.00%","$0.00","$0.00","$0.00"
