"Campaign name","Campaign id","Account","Wins","clicks","CPC","CTR","Cost","Spend","Profit"
"TranquilZ MW Android -Most healthiest cities","campaign_0G32X0ixkpt5v0jd1UMNbXRex0fstD","actor_n8q7IDEMysmDeHaR3K5itxNSbono4r","2,140","4","$0.19","0.19%","$0.52","$0.74","$0.22"
"3600547 Havas Viatris Epipen September 2021_728x90","campaign_rWoNBC0FsRULmuJsf0Oo8qQOPrm9sJ","actor_38OrsGKnv2EnEilCTMbz80ig8Aag8","1,908","21","$0.55","1.10%","$8.01","$11.45","$3.43"
"ShopRite -  Location 2","campaign_IzK1k8b0WFlT0JXqjRW7tHAMzGvyNF","actor_LsCO3CwhyUXlzCMQf3ueOFPf7Ij2","4,928","5","$1.97","0.10%","$6.88","$9.83","$2.95"
"TranquilZ IA iOS - Radio focused","campaign_wHnVtrd9dtt9n5sdaLxHPnKHpFCos9","actor_n8q7IDEMysmDeHaR3K5itxNSbono4r","18,178","87","$0.05","0.48%","$3.18","$4.54","$1.36"
"TranquilZ IA iOS","campaign_jBNIIWKH0xyhPopO5TNHW28T7Cubdo","actor_n8q7IDEMysmDeHaR3K5itxNSbono4r","11,002","43","$0.04","0.39%","$1.15","$1.65","$0.49"
"3600548 Havas Viatris Synthroid Brand October 2021_300x600","campaign_50RmLNca72TV31n35zPFCEraEJ8S","actor_38OrsGKnv2EnEilCTMbz80ig8Aag8","952","2","$2.85","0.21%","$3.99","$5.71","$1.71"
"3600492 Yates Weed N Feed October 2021","campaign_RRuBstNhzMIaeRTbROr80zFyEdUki0","actor_38OrsGKnv2EnEilCTMbz80ig8Aag8","296","0","$0.00","0.00%","$0.41","$0.59","$0.18"
"3600583 Firth Order Concrete LN01","campaign_bsOqK8PrUz99vLzyE2GUGk7QuSrE4","actor_38OrsGKnv2EnEilCTMbz80ig8Aag8","5,608","3","$4.67","0.05%","$9.80","$14.00","$4.20"
"TranquilZ DT","campaign_topOpdUr6wgutGkCrdB1CBXHxQ7JAH","actor_n8q7IDEMysmDeHaR3K5itxNSbono4r","11","0","$0.00","0.00%","$0.01","$0.01","$0.00"
"3600547 Havas Viatris Epipen September 2021_300x600","campaign_fppcF9tOHFpjdqVy7MJdN39S3L8RQL","actor_38OrsGKnv2EnEilCTMbz80ig8Aag8","1,906","1","$11.40","0.05%","$7.98","$11.40","$3.42"
"3600548 Havas Viatris Synthroid Brand October 2021_970x250","campaign_1uLTBHaBi8l8qO9O25byP0DCMG1n10","actor_38OrsGKnv2EnEilCTMbz80ig8Aag8","835","1","$5.01","0.12%","$3.51","$5.01","$1.50"
"J3600575 John Flynn Assisted Living Apartments Oct-Dec 2021","campaign_jvt2OrRCICP98kci1S1ashE0yHcIah","actor_38OrsGKnv2EnEilCTMbz80ig8Aag8","1,257","1","$5.02","0.08%","$3.51","$5.02","$1.51"
"3600548 Havas Viatris Synthroid Brand October 2021_728x90","campaign_q7vHrqnTFXfJwvUgvbd9GLKqSsgAr","actor_38OrsGKnv2EnEilCTMbz80ig8Aag8","952","0","$0.00","0.00%","$3.98","$5.68","$1.70"
