"Campaign name","Campaign id","Account","Wins","clicks","CPC","CTR","Cost","Spend","Profit"
"TranquilZ DT - Age Targeting","campaign_f2u4vIGWhrwTgJWDqemki6HISiRl","actor_n8q7IDEMysmDeHaR3K5itxNSbono4r","67,094","16","$2.10","0.02%","$23.48","$33.55","$10.06"
"3600548 Havas Viatris Synthroid Brand October 2021_320x480","campaign_wuHnKTqILpR2sJ8VHbjz3gyxetFNT","actor_38OrsGKnv2EnEilCTMbz80ig8Aag8","957","0","$0.00","0.00%","$2.66","$3.79","$1.14"
"TranquilZ MW Android","campaign_m2RcKoceD3GW0PcrqxyrKiDucLoCG","actor_n8q7IDEMysmDeHaR3K5itxNSbono4r","8,017","61","$0.02","0.76%","$0.83","$1.19","$0.36"
"TranquilZ MW iOS -Most healthiest cities","campaign_Qlq6Q290MS8HopTFQ3oOU9N0FP20Rg","actor_n8q7IDEMysmDeHaR3K5itxNSbono4r","6,186","0","$0.00","0.00%","$0.65","$0.92","$0.28"
"TranquilZ IA Android -Radio focused","campaign_AUGUkXsrtKuwoCrjAusAeE1b06a0R","actor_n8q7IDEMysmDeHaR3K5itxNSbono4r","23,618","41","$0.09","0.17%","$2.48","$3.54","$1.06"
"TranquilZ IA Android","campaign_rUloqWPhibHGQAt76ztCH5MkrhLMWo","actor_n8q7IDEMysmDeHaR3K5itxNSbono4r","19,671","16","$0.18","0.08%","$2.07","$2.95","$0.89"
"TranquilZ MW iOS -Radio focused","campaign_PxymPLaEz6t72oF5t0oX3CjxQjdwol","actor_n8q7IDEMysmDeHaR3K5itxNSbono4r","19,698","6","$0.82","0.03%","$3.44","$4.91","$1.47"
"3600457 Bargain Chemist store  300x250 LN06","campaign_CyobanbuSK7SGfQGt6qd8C5Bff5k36","actor_38OrsGKnv2EnEilCTMbz80ig8Aag8","3,010","5","$2.39","0.17%","$8.36","$11.94","$3.58"
"TranquilZ MW Android -Radio focused","campaign_xH6WU2bvvFkPUjTRFFzFe26La0hap","actor_n8q7IDEMysmDeHaR3K5itxNSbono4r","4,525","10","$0.16","0.22%","$1.10","$1.57","$0.47"
"3600548 Havas Viatris Synthroid Brand October 2021_300x250","campaign_EtQwW0K1oCO16KcDL0zflqlFG7kxF","actor_38OrsGKnv2EnEilCTMbz80ig8Aag8","953","1","$1.89","0.10%","$1.32","$1.89","$0.57"
"TURQUOISE","campaign_hvcam1FNylkDLgPImMPGWjGB5PzEmb","actor_sPkRhNFQydDsumHKLyukrxcCrRHsu","10,072","11","$0.61","0.11%","$4.70","$6.71","$2.01"
"TranquilZ IA iOS - healthiest cities","campaign_gg8vcDkrHlEISIsyvJPFTzGRfhN0fl","actor_n8q7IDEMysmDeHaR3K5itxNSbono4r","7,303","1","$1.10","0.01%","$0.77","$1.10","$0.33"
"3600547 Havas Viatris Epipen September 2021_320x50","campaign_N8XReRhlskXmJ0O97yK3vjxfNI9ohU","actor_38OrsGKnv2EnEilCTMbz80ig8Aag8","1,917","1","$1.92","0.05%","$1.34","$1.92","$0.58"
"TranquilZ IA iOS - Age targeting","campaign_AXyOFbBPNORQ1Vqsf2KaroserePiNu","actor_n8q7IDEMysmDeHaR3K5itxNSbono4r","10,047","33","$0.05","0.33%","$1.05","$1.51","$0.45"
"TranquilZ MW iOS","campaign_OD7zOcOKwq0iArN51bHy2aHvPcfuSF","actor_n8q7IDEMysmDeHaR3K5itxNSbono4r","34,023","204","$0.02","0.60%","$3.54","$5.06","$1.52"
"ShopRite -  Location 3","campaign_nsIaaVP3q8z8WDecSp9LbqrsdfmMPp","actor_LsCO3CwhyUXlzCMQf3ueOFPf7Ij2","14,854","24","$0.93","0.16%","$15.57","$22.24","$6.67"
"3600590 Ryman New Zealand Secure Living November 2021 Serviced Apartment","campaign_mtvkx56fGOGf4xsuylb9OwpmU9DMug","actor_38OrsGKnv2EnEilCTMbz80ig8Aag8","1,002","4","$1.00","0.40%","$2.79","$3.99","$1.20"
"TranquilZ MW Android -Age Targeting","campaign_a4VC3HAQhh3hLWQXgWhIfiwiPySR2","actor_n8q7IDEMysmDeHaR3K5itxNSbono4r","14,398","119","$0.02","0.83%","$2.00","$2.86","$0.86"
"3600591 Ryman AU Secure Living November 2021 Serviced Apartment","campaign_OqMIyQsA18vCpuU55lBunnXNUs1cL4","actor_38OrsGKnv2EnEilCTMbz80ig8Aag8","1,006","1","$4.02","0.10%","$2.82","$4.02","$1.21"
"ShopRite -  Location 1","campaign_QIv7yntA0PFRqhUhNRGQ5dScz9CJ4","actor_LsCO3CwhyUXlzCMQf3ueOFPf7Ij2","4,330","9","$0.96","0.21%","$6.03","$8.61","$2.58"
"3600547 Havas Viatris Epipen September 2021_300x250","campaign_SrfdsvyK27y34n8WvS8q0rOU891nKx","actor_38OrsGKnv2EnEilCTMbz80ig8Aag8","1,907","4","$0.48","0.21%","$1.33","$1.90","$0.57"
"TranquilZ IA Android -Age Targeting","campaign_INKmBhmxG5P4Ia6EWvBJCLvyE1cfv","actor_n8q7IDEMysmDeHaR3K5itxNSbono4r","20,465","26","$0.12","0.13%","$2.15","$3.07","$0.92"
"Trendy bar 1","campaign_60ljWREfB6Nyqp9KlIAPsGgwNBtW","actor_MjwPipI1TkXVXKEcCjGqmmhaPEhc4Q","602","6","$0.10","1.00%","$0.42","$0.60","$0.18"
"3600547 Havas Viatris Epipen September 2021_970x250","campaign_3Gz38PE9QpudyqAOqiEa2Q9o3h7a","actor_38OrsGKnv2EnEilCTMbz80ig8Aag8","1,902","3","$3.79","0.16%","$7.96","$11.38","$3.41"
"TranquilZ MW iOS -Age Targeting","campaign_ljufvgWmjExFpQbWIlptolj8ezWe4q","actor_n8q7IDEMysmDeHaR3K5itxNSbono4r","60,982","353","$0.03","0.58%","$8.48","$12.11","$3.63"
"TranquilZ IA Android - healthiest cities","campaign_beR8fMKyTTK45ToMwU9Q36JSKVUgN0","actor_n8q7IDEMysmDeHaR3K5itxNSbono4r","1,578","1","$0.24","0.06%","$0.17","$0.24","$0.07"
"Palestine with GeoFencing- NEW CHIC- SmartWatch- 300x250","campaign_QOxcM3RXuhCotvJt0GMpxhOebvOk8b","actor_cKFDMCRTxSs2l2MFMVOqH6SHrFIrVl","0","1","$0.00","0.00%","$0.00","$0.00","$0.00"
"NL Wide","campaign_9y3anpovKvNLk2EXBBnhwRfWw7pTCa","actor_i39reHl7iMk03aaKxXmsNdPqE0Ievc","0","1","$0.00","0.00%","$0.00","$0.00","$0.00"
"Express Video (General, Adx)","campaign_fNLipa53l4I040Mxe06dev5BEq4Tbf","actor_ATxhfpUHrPpm5s1iU4LOAH2WrcLkTJ","0","1","$0.00","0.00%","$0.00","$0.00","$0.00"
"Refinancing (adx, whitelist)","campaign_F6qDfp78IdwGAUVOMecx4UWB1j7QT","actor_ATxhfpUHrPpm5s1iU4LOAH2WrcLkTJ","0","3","$0.00","0.00%","$0.00","$0.00","$0.00"
"Massey Patagonia (footfall)","campaign_yAGHtwgT5JKkmSwmgyvCn6LiCLJPBB","actor_2Dv6b2xAFXFni2y1ny9VxbOn00MADo","0","1","$0.00","0.00%","$0.00","$0.00","$0.00"
"Oron_InApp_Camp83_US_320X480_RON_NU (CD) 1428560027","campaign_D1ylRaktRm4DR31pub3EovbK4fzMXd","actor_TJVeBGvtc6jCXTR8EJEn4w7953f7R2","0","1","$0.00","0.00%","$0.00","$0.00","$0.00"
"IAS - Wazimo - RON $0.1","campaign_t7pWs1amJJ2UfBk4BVJHPX3VNEhB3h","actor_FHS3IB4i2q0FFFml8u6dNeLVtsGtse","0","1","$0.00","0.00%","$0.00","$0.00","$0.00"
"IA_300x250_RU_WL1","campaign_bRBiB6jHftAS9K7PKqvTtWavbk1W1","actor_Usmzfjmxh7C3rAUEwRzw2uC8SSvkHe","0","2","$0.00","0.00%","$0.00","$0.00","$0.00"
