"Campaign ID","Campaign Status","Campaign Name","Impressions","Clicks","Conversions","Cost","Payout","eCPI","eCPM","CTR","CR"
"campaign_1oCXpGca51PKrrEPfbIflkqPdSXi","INACTIVE","Mexico casino",43831,107,52,"43.7",0,0.84,1,0.24,48.6
"campaign_Hk5mBwb0NxvbzVPiCvlDw7ATXaCAs3","INACTIVE","roladin",6,0,0,"0.0",0,0,0,0,0
"campaign_jCiEsmQGldMt4a2nER9k3N5zkpVwb","INACTIVE","mouse",50,0,0,"0.0",0,0,0,0,0
"campaign_fFLML21TlvlGAzHlw3SLlHv0difPft","INACTIVE","play",929,20,0,"0.9",0,0,0.97,2.15,0
