"Account","Wins","clicks","CPC","CTR","Cost","Spend","Profit"
"actor_n8q7IDEMysmDeHaR3K5itxNSbono4r","328,936","1,021","$0.08","0.31%","$57.06","$81.52","$24.45"
"actor_sPkRhNFQydDsumHKLyukrxcCrRHsu","10,072","11","$0.61","0.11%","$4.70","$6.71","$2.01"
"actor_38OrsGKnv2EnEilCTMbz80ig8Aag8","26,368","48","$2.08","0.18%","$69.78","$99.69","$29.91"
"actor_LsCO3CwhyUXlzCMQf3ueOFPf7Ij2","24,112","38","$1.07","0.16%","$28.47","$40.67","$12.20"
"actor_MjwPipI1TkXVXKEcCjGqmmhaPEhc4Q","602","6","$0.10","1.00%","$0.42","$0.60","$0.18"
"actor_ATxhfpUHrPpm5s1iU4LOAH2WrcLkTJ","0","4","$0.00","0.00%","$0.00","$0.00","$0.00"
"actor_2Dv6b2xAFXFni2y1ny9VxbOn00MADo","0","1","$0.00","0.00%","$0.00","$0.00","$0.00"
"actor_i39reHl7iMk03aaKxXmsNdPqE0Ievc","0","1","$0.00","0.00%","$0.00","$0.00","$0.00"
