"Exchang name","Exchange","Num","Requests"
"ShowCase Ads","exchange_BBVFy3l4UB","151","4,940,105"
"Google Adx","exchange_FHTdban0dWKfSa2xOJI9qIQyXH7CLq","13","725,070,273"
"Beachfront","exchange_sQcqbo4KvZ","48","201,164,388"
"Epom (premium)","06MPNRTu7T","162","637,431,464"
"AdColoni (bw)","exchange_iNJ1vqDfVJ","177","99,275,995"
"717Studio","WbAs5oTI2","158","4,340,217"
"openrtbio","exchange_66t0aUcCix","97","654,183"
