"Campaign name","Campaign id","Account","Wins","clicks","CPC","CTR","Cost","Spend","Profit"
"3600547 Havas Viatris Epipen September 2021_728x90","campaign_rWoNBC0FsRULmuJsf0Oo8qQOPrm9sJ","actor_38OrsGKnv2EnEilCTMbz80ig8Aag8","2,005","6","$2.00","0.30%","$8.41","$12.02","$3.61"
"TranquilZ IA Google- healthiest cities","campaign_TmPBNsuU0Oi40TDTwIot6dkxzkOlGf","actor_n8q7IDEMysmDeHaR3K5itxNSbono4r","43,433","31","$0.35","0.07%","$7.60","$10.86","$3.26"
"ShopRite -  Location 2","campaign_IzK1k8b0WFlT0JXqjRW7tHAMzGvyNF","actor_LsCO3CwhyUXlzCMQf3ueOFPf7Ij2","11,313","45","$0.44","0.40%","$13.77","$19.68","$5.90"
"3600607_Ryman Auckland We're Open December 2021","campaign_DegwniJLEj7VwP0Ptw1O2n1IhAV6Jg","actor_38OrsGKnv2EnEilCTMbz80ig8Aag8","1,259","2","$2.51","0.16%","$3.51","$5.01","$1.50"
"Prime concert DT","campaign_5TXpC225EPHnSg5tUn2FPEggo0b0","actor_XWOm2u94dUBj4rdE8ivbBpV4xmrWg","626","2","$0.31","0.32%","$0.44","$0.62","$0.19"
"3600548 Havas Viatris Synthroid Brand October 2021_LN02_300x600","campaign_50RmLNca72TV31n35zPFCEraEJ8S","actor_38OrsGKnv2EnEilCTMbz80ig8Aag8","955","2","$2.84","0.21%","$3.98","$5.68","$1.71"
"3600583 Firth Order Concrete LN01","campaign_bsOqK8PrUz99vLzyE2GUGk7QuSrE4","actor_38OrsGKnv2EnEilCTMbz80ig8Aag8","4,011","2","$5.01","0.05%","$7.01","$10.02","$3.01"
"Master Refi Facebook","campaign_7RgmMddOfAsbgbb6lmM62npoDLHyo","actor_UGofIMmKhTS829ar971KbMqfRFyM","86","86","$0.00","100.00%","$0.09","$0.12","$0.04"
"TranquilZ DT Google- healthiest cities","campaign_rvbgdC3Fy8RHFkR5xOuaJcmgiIkjo8","actor_n8q7IDEMysmDeHaR3K5itxNSbono4r","37,475","26","$0.36","0.07%","$6.54","$9.34","$2.80"
"3600547 Havas Viatris Epipen September 2021_300x600","campaign_fppcF9tOHFpjdqVy7MJdN39S3L8RQL","actor_38OrsGKnv2EnEilCTMbz80ig8Aag8","1,904","3","$3.77","0.16%","$7.93","$11.32","$3.40"
"3600548 Havas Viatris Synthroid Brand October 2021_LN02_970x250","campaign_1uLTBHaBi8l8qO9O25byP0DCMG1n10","actor_38OrsGKnv2EnEilCTMbz80ig8Aag8","896","0","$0.00","0.00%","$3.76","$5.38","$1.61"
"3600575 John Flynn Assisted Living Apartments Oct-Dec 2021","campaign_jvt2OrRCICP98kci1S1ashE0yHcIah","actor_38OrsGKnv2EnEilCTMbz80ig8Aag8","1,006","1","$4.01","0.10%","$2.81","$4.01","$1.20"
