"Exchang name","Exchange","Wins","clicks","CPC","CTR","Cost","Spend","Profit"
"ShowCase Ads","exchange_BBVFy3l4UB","1,307","38","$0.08","2.91%","$2.13","$3.04","$0.91"
"Google Adx","exchange_FHTdban0dWKfSa2xOJI9qIQyXH7CLq","1,807,540","3,267","$0.31","0.18%","$716.98","$1,024.25","$307.26"
"Beachfront","exchange_sQcqbo4KvZ","1,735","5","$1.28","0.29%","$4.49","$6.42","$1.92"
,"tiktok","1","2","$0.00","200.00%","$0.00","$0.00","$0.00"
"Epom (premium)","06MPNRTu7T","247,750","371","$0.41","0.15%","$105.80","$151.03","$45.23"
"AdColoni (bw)","exchange_iNJ1vqDfVJ","111,399","838","$0.06","0.75%","$37.40","$53.43","$16.03"
"717Studio","WbAs5oTI2","5,207","112","$0.05","2.15%","$3.87","$5.53","$1.66"
,"facebook","320","320","$0.00","100.00%","$0.32","$0.46","$0.14"
,"undefined","0","16","$0.00","0.00%","$0.00","$0.00","$0.00"
