"Campaign name","Campaign id","Account","Wins","clicks","CPC","CTR","Cost","Spend","Profit"
"TranquilZ IA iOS - Age targeting","campaign_AXyOFbBPNORQ1Vqsf2KaroserePiNu","actor_n8q7IDEMysmDeHaR3K5itxNSbono4r","9,898","15","$0.10","0.15%","$1.04","$1.48","$0.45"
"TranquilZ MW iOS","campaign_OD7zOcOKwq0iArN51bHy2aHvPcfuSF","actor_n8q7IDEMysmDeHaR3K5itxNSbono4r","37,465","221","$0.03","0.59%","$3.89","$5.56","$1.67"
"ShopRite -  Location 3","campaign_nsIaaVP3q8z8WDecSp9LbqrsdfmMPp","actor_LsCO3CwhyUXlzCMQf3ueOFPf7Ij2","16,142","21","$1.15","0.13%","$16.92","$24.17","$7.25"
"3600590 Ryman New Zealand Secure Living November 2021 Serviced Apartment","campaign_mtvkx56fGOGf4xsuylb9OwpmU9DMug","actor_38OrsGKnv2EnEilCTMbz80ig8Aag8","1,013","34","$0.12","3.36%","$2.82","$4.02","$1.21"
"TranquilZ MW Android -Age Targeting","campaign_a4VC3HAQhh3hLWQXgWhIfiwiPySR2","actor_n8q7IDEMysmDeHaR3K5itxNSbono4r","16,417","130","$0.03","0.79%","$2.28","$3.26","$0.98"
"3600591 Ryman AU Secure Living November 2021 Serviced Apartment","campaign_OqMIyQsA18vCpuU55lBunnXNUs1cL4","actor_38OrsGKnv2EnEilCTMbz80ig8Aag8","1,004","0","$0.00","0.00%","$2.80","$4.00","$1.20"
"ShopRite -  Location 1","campaign_QIv7yntA0PFRqhUhNRGQ5dScz9CJ4","actor_LsCO3CwhyUXlzCMQf3ueOFPf7Ij2","5,342","3","$3.55","0.06%","$7.45","$10.65","$3.19"
"3600547 Havas Viatris Epipen September 2021_300x250","campaign_SrfdsvyK27y34n8WvS8q0rOU891nKx","actor_38OrsGKnv2EnEilCTMbz80ig8Aag8","1,922","2","$0.96","0.10%","$1.34","$1.91","$0.57"
"TranquilZ IA Android -Age Targeting","campaign_INKmBhmxG5P4Ia6EWvBJCLvyE1cfv","actor_n8q7IDEMysmDeHaR3K5itxNSbono4r","22,612","20","$0.17","0.09%","$2.37","$3.39","$1.02"
"Trendy bar 1","campaign_60ljWREfB6Nyqp9KlIAPsGgwNBtW","actor_MjwPipI1TkXVXKEcCjGqmmhaPEhc4Q","24,704","158","$0.16","0.64%","$17.27","$24.67","$7.40"
"3600547 Havas Viatris Epipen September 2021_970x250","campaign_3Gz38PE9QpudyqAOqiEa2Q9o3h7a","actor_38OrsGKnv2EnEilCTMbz80ig8Aag8","1,901","2","$5.70","0.11%","$7.97","$11.39","$3.42"
"TranquilZ MW iOS -Age Targeting","campaign_ljufvgWmjExFpQbWIlptolj8ezWe4q","actor_n8q7IDEMysmDeHaR3K5itxNSbono4r","64,061","350","$0.04","0.55%","$8.90","$12.72","$3.81"
"TranquilZ IA Android - healthiest cities","campaign_beR8fMKyTTK45ToMwU9Q36JSKVUgN0","actor_n8q7IDEMysmDeHaR3K5itxNSbono4r","2,081","3","$0.10","0.14%","$0.22","$0.31","$0.09"
"P1471974482_HTML_Norway_MA_102_32x48_(Eug)_BL","campaign_JR8wmJEc2R4yBV5yylA37tQyoDNnpp","actor_jwWJiyr7h5NOHjLXMRUOmEjzhUt5np","0","2","$0.00","0.00%","$0.00","$0.00","$0.00"
"Refi (display, Mobile, discovery)","campaign_SUOLpSwBHrolmlf6t2jcpwAAMkMF3e","actor_UGofIMmKhTS829ar971KbMqfRFyM","0","1","$0.00","0.00%","$0.00","$0.00","$0.00"
"Aniview_RU_320x480 WL","campaign_9KbFO7MkjH5EM2BfW6qJDWojhpeqAL","actor_eTwCXu3CjecdoyxLK3rByOH5WSHvuC","0","1","$0.00","0.00%","$0.00","$0.00","$0.00"
"LOCALI corona campaign-  Palestine with GeoFencing 320x50","campaign_0rcdbdeQ6r58Nm5D3LDamsS02o5tsb","actor_cKFDMCRTxSs2l2MFMVOqH6SHrFIrVl","0","1","$0.00","0.00%","$0.00","$0.00","$0.00"
"Refi IA WhiteList","campaign_TMkIwppMTPxPo3kBrAGlNGgfkOX20","actor_UGofIMmKhTS829ar971KbMqfRFyM","0","1","$0.00","0.00%","$0.00","$0.00","$0.00"
