"Account","Wins","clicks","CPC","CTR","Cost","Spend","Profit"
"actor_n8q7IDEMysmDeHaR3K5itxNSbono4r","386,886","439","$0.20","0.11%","$61.17","$87.33","$26.15"
"actor_UGofIMmKhTS829ar971KbMqfRFyM","86","86","$0.00","100.00%","$0.09","$0.12","$0.04"
"actor_ATxhfpUHrPpm5s1iU4LOAH2WrcLkTJ","23","1","$0.08","4.35%","$0.07","$0.08","$0.01"
"actor_XWOm2u94dUBj4rdE8ivbBpV4xmrWg","1,061,684","2,103","$0.25","0.20%","$371.24","$530.33","$159.10"
"actor_38OrsGKnv2EnEilCTMbz80ig8Aag8","25,674","47","$2.03","0.18%","$66.90","$95.57","$28.67"
"actor_LsCO3CwhyUXlzCMQf3ueOFPf7Ij2","66,316","156","$0.99","0.24%","$108.50","$154.99","$46.49"
"actor_MjwPipI1TkXVXKEcCjGqmmhaPEhc4Q","16,457","630","$0.11","3.83%","$48.32","$69.02","$20.70"
"actor_sPkRhNFQydDsumHKLyukrxcCrRHsu","0","1","$0.00","0.00%","$0.00","$0.00","$0.00"
"actor_i39reHl7iMk03aaKxXmsNdPqE0Ievc","0","1","$0.00","0.00%","$0.00","$0.00","$0.00"
