"Exchang name","Exchange","Wins","clicks","CPC","CTR","Cost","Spend","Profit"
"Pubmatic","exchange_JgqyQFEHCi","1","0","$0.00","0.00%","$0.00","$0.00","$0.00"
"ShowCase Ads","exchange_BBVFy3l4UB","335","9","$0.08","2.69%","$0.50","$0.72","$0.21"
"Google Adx","exchange_FHTdban0dWKfSa2xOJI9qIQyXH7CLq","1,290,777","2,199","$0.35","0.17%","$536.40","$766.27","$229.87"
"Beachfront","exchange_sQcqbo4KvZ","1,170","4","$1.10","0.34%","$3.08","$4.39","$1.32"
"Epom (premium)","06MPNRTu7T","185,103","383","$0.35","0.21%","$93.86","$134.01","$40.15"
"AdColoni (bw)","exchange_iNJ1vqDfVJ","76,317","556","$0.05","0.73%","$20.01","$28.58","$8.57"
"717Studio","WbAs5oTI2","3,184","61","$0.05","1.92%","$2.19","$3.13","$0.94"
,"facebook","239","239","$0.00","100.00%","$0.24","$0.34","$0.10"
,"undefined","0","12","$0.00","0.00%","$0.00","$0.00","$0.00"
